SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
192.168.20.111,8.8.8.8,47458,443,2019/12/16 19:32,0.195289,4468,22878.91279,6084,31153.82843,15786.00113,125.642354,144.5479452,105.0,66,0.944298095,0.625170913,0.869208856,0.00222755,0.047196931,0.113034356,0.109804,0.0,0.2053326,2.39495142,0.417545004,7.26054e-05,0.00852088,0.009221533,0.008136,3.9e-05,0.382190589,1.07765087,0.924019825,0
192.168.20.111,9.9.9.9,40246,443,2019/12/19 23:34,0.125645,2351,18711.44892,4472,35592.34351,161833.2455,402.2850302,252.7037037,90.0,66,1.213346445,0.464108007,1.59192376,0.001794113,0.042356974,0.081642519,0.109384,0.0,-1.964834503,1.927487031,0.518810235,6.05659e-05,0.00778241,0.00782675,0.0078115,0.015544,0.005878642,-0.991627272,0.994334814,0
192.168.20.111,8.8.8.8,49038,443,2019/12/10 1:28,118.016134,513,4.346863286,381,3.228372148,365.04,19.10601999,89.4,105.0,105,-2.449489743,-0.816496581,0.21371387,2401.430484,49.00439249,53.1151911,59.008066,0.0,-0.36075592,1.083886329,0.922605972,3.07e-10,1.75182e-05,0.015483333,0.015473,0.015469,1.769583709,0.818194618,0.001131426,0
192.168.20.111,8.8.8.8,37502,443,2019/12/13 18:05,0.015491,171,11038.66761,105,6778.129236,338.0,18.38477631,92.0,105.0,105,-2.121320344,-0.707106781,0.199834525,5.32788e-05,0.00729923,0.010322667,0.015477,0.0,-2.118442677,1.414213129,0.707106998,0.0,0.0,0.015477,0.015477,0.015477,-10.0,-10.0,0.0,0
192.168.20.113,176.103.130.130,41924,443,2019/12/19 19:36,0.021905,128,5843.414745,74,3378.22415,88.88888889,9.428090416,67.33333333,74.0,74,-2.121320344,-0.707106781,0.140021145,0.00010658,0.01032376,0.0146,0.021895,0.0,-2.119867219,1.414213452,0.707106836,0.0,0.0,0.021895,0.021895,0.021895,-10.0,-10.0,0.0,0
192.168.20.111,8.8.8.8,44290,443,2019/12/15 10:41,63.11519,669,10.59966705,458,7.256573259,445.1360947,21.09824862,86.69230769,90.0,66,-0.470327045,0.980759497,0.243369327,682.0847584,26.11675245,47.59826362,63.099662,0.0,-1.780627023,1.822518466,0.548691285,2.653070377,1.628824845,0.8260324,0.015602,1.2e-05,1.492665836,0.507126596,1.971865565,0
192.168.20.111,8.8.8.8,46248,443,2019/12/16 6:48,118.025612,513,4.346514213,381,3.228112895,365.04,19.10601999,89.4,105.0,105,-2.449489743,-0.816496581,0.21371387,2401.401584,49.00409763,53.1217965,59.0128385,0.0,-0.360645882,1.084027644,0.9224857,3.28e-09,5.72946e-05,0.024957,0.024937,0.024899,1.047219831,1.012312503,0.002295731,0
192.168.20.111,8.8.8.8,47960,443,2019/12/17 0:33,0.055602,171,3075.428941,171,3075.428941,380.25,19.5,85.5,85.5,66,0.0,1.0,0.228070175,0.000424224,0.020596706,0.02165475,0.0155085,0.0,0.895228119,1.051369595,0.951140308,0.0,0.0,0.015495,0.015495,0.015495,-10.0,-10.0,0.0,0
192.168.20.113,176.103.130.130,56508,443,2019/12/20 0:34,1.380349,12927,9365.022904,18550,13438.63038,17979.83032,134.0888896,167.4308511,123.0,66,0.99406113,0.756444858,0.800861304,0.168675691,0.410701462,0.536672665,0.4591685,0.0,0.566135054,1.30672207,0.765273675,0.000527515,0.022967689,0.012420514,0.005528,1.4e-05,0.90028825,0.540172479,1.849173866,0
192.168.20.111,9.9.9.9,53362,443,2019/12/19 17:35,1.357928,5903,4347.064056,4870,3586.346257,9977.555921,99.88771657,141.75,123.0,66,0.563132304,0.758351503,0.704675249,0.240891316,0.490806801,0.627678079,0.657219,0.0,-0.180565475,1.278869971,0.781940324,5.52119e-05,0.007430472,0.011899333,0.01565,3.3e-05,-1.514304919,1.596982486,0.624444378,0
192.168.20.111,8.8.8.8,43796,443,2019/12/10 23:15,0.350581,276,787.2645694,171,487.7617441,365.04,19.10601999,89.4,105.0,105,-2.449489743,-0.816496581,0.21371387,0.016060934,0.126731739,0.2496582,0.307557,0.0,-1.370583259,1.969973755,0.507620976,0.0,0.0,0.024973,0.024973,0.024973,-10.0,-10.0,0.0,0
1.1.1.1,192.168.20.112,443,49418,2019/12/20 13:52,2.2e-05,93,4227272.727,54,2454545.455,380.25,19.5,73.5,73.5,54,0.0,1.0,0.265306122,1.21e-10,1.1e-05,1.1e-05,1.1e-05,0.0,0.0,1.0,1.0,0.0,0.0,2.2e-05,2.2e-05,2.2e-05,-10.0,-10.0,0.0,0
192.168.20.113,176.103.130.130,49344,443,2019/12/19 21:42,0.729006,2146,2943.734345,7575,10390.86098,616878.371,785.4160496,335.2068966,90.0,66,0.936600022,0.342757061,2.343078432,0.080172612,0.283147687,0.220116483,0.079252,0.0,1.492484199,0.777391069,1.286353857,8.78651e-05,0.009373639,0.015180429,0.021283,0.000161,-1.953106328,1.602304937,0.617481864,0
192.168.20.111,8.8.8.8,49740,443,2019/12/10 10:13,0.1404,3018,21495.7265,3324,23675.21368,26549.72387,162.94086,162.6153846,97.0,66,1.208083435,0.592947555,1.002001504,0.000960416,0.030990585,0.080334308,0.074919,0.0,0.524221245,2.592216558,0.385770239,0.000101645,0.010081935,0.008748385,0.00526,2.1e-05,1.03801048,0.865645821,1.152433862,0
176.103.130.130,192.168.20.113,443,41618,2019/12/20 5:13,3e-05,105,3500000.0,66,2200000.0,380.25,19.5,85.5,85.5,66,0.0,1.0,0.228070175,2.25e-10,1.5e-05,1.5e-05,1.5e-05,0.0,0.0,1.0,1.0,0.0,0.0,3e-05,3e-05,3e-05,-10.0,-10.0,0.0,0
192.168.20.111,8.8.8.8,45914,443,2019/12/16 3:21,4.231637,498,117.6849527,353,83.41925359,466.29,21.5937491,85.1,78.0,66,0.986396568,0.884515232,0.253745583,3.691999055,1.921457534,2.9520374,4.2061675,0.0,-1.95809183,1.536353184,0.650892002,3.250733347,1.80297902,1.05782,0.0253215,1.7e-05,1.717987545,0.586697343,1.704428939,0
